データコード,PR01'PRW95_170102001,PR01'PRW95_170103001,PR01'PRW95_170103002,PR01'PRW95_170103003,PR01'PRW95_170112001,PR01'PRW95_170113001,PR01'PRW95_170113002,PR01'PRW95_170113003,PR01'PRW95_170122001,PR01'PRW95_170123001,PR01'PRW95_170123002,PR01'PRW95_170123003,PR01'PRW95_170132001,PR01'PRW95_170133001,PR01'PRW95_170133002,PR01'PRW95_170133003,PR01'PRW95_170142001,PR01'PRW95_170143001,PR01'PRW95_170143002,PR01'PRW95_170143003,PR01'PRW95_170152001,PR01'PRW95_170153001,PR01'PRW95_170153002,PR01'PRW95_170153003,PR01'PRW95_170162001,PR01'PRW95_170163001,PR01'PRW95_170163002,PR01'PRW95_170163003,PR01'PRW95_170001201,PR01'PRW95_170002211,PR01'PRW95_170002231,PR01'PRW95_170172001,PR01'PRW95_170173001,PR01'PRW95_170173003,PR01'PRW95_170182001,PR01'PRW95_170183001,PR01'PRW95_170183003,PR01'PRW95_170001301,PR01'PRW95_170002311,PR01'PRW95_170002331,PR01'PRW95_170001401,PR01'PRW95_170002411,PR01'PRW95_170001501,PR01'PRW95_170002511,PR01'PRW95_170002531
2000/07,96.7 ,93.9 ,87.3 ,110.2,98.6 ,98.2 ,100.7,111.2,98.8 ,97.6 ,101.4,107.4,80.8 ,79.6 ,83.6 ,83.6 ,96.9 ,96.5 ,97.5 ,100.9,96.9 ,98.1 ,94   ,95.6 ,101  ,100.2,113.9,103.3,92.7 ,94.5 ,87.6 ,94.9 ,95.5 ,92.3 ,81.8 ,82.8 ,81.3 ,130.4,86.6 ,150.1,102.3,102.3,73   ,70.8 ,84.8
2000/08,97.4 ,94.6 ,88.1 ,111  ,98.5 ,98.1 ,100.9,111.4,98.7 ,97.5 ,101.3,107.4,80.9 ,79.5 ,83.9 ,83.8 ,96.8 ,96.5 ,97   ,101  ,96.7 ,98.1 ,94.1 ,94.6 ,101  ,100.2,114.3,103.2,92.4 ,94.3 ,87.1 ,94.4 ,95.1 ,90.8 ,83   ,84.8 ,82   ,131  ,86.6 ,150.9,102.3,102.3,74   ,72.3 ,83.3
2000/09,97.8 ,95   ,87.7 ,111.5,98.4 ,98.1 ,100.2,107.9,98.4 ,97.4 ,100.5,105.8,80.3 ,79.2 ,82.8 ,82.5 ,95.9 ,96.1 ,94.3 ,99.8 ,96.1 ,98   ,93   ,92.2 ,100.7,100.2,112.9,101  ,92.5 ,94.7 ,86.3 ,94.3 ,95.3 ,89.5 ,84   ,87.8 ,81.9 ,130.2,86.6 ,149.8,102.3,102.3,72.7 ,70.8 ,82.5
2000/10,97.9 ,95.3 ,89.1 ,110.4,98.5 ,98.1 ,100.9,109  ,98.5 ,97.3 ,101.1,107  ,80   ,78.6 ,83   ,82.5 ,95.6 ,95.7 ,94   ,100.4,96.3 ,97.8 ,93.8 ,93.1 ,100.7,100  ,114.5,102.5,91.5 ,92.8 ,87.7 ,92.8 ,93.2 ,90.5 ,85.4 ,87.6 ,84.1 ,136.1,86.6 ,158.3,94.4 ,94.4 ,73.7 ,71.8 ,83.7
2000/11,97   ,94.1 ,89.8 ,110  ,98.4 ,98   ,101.1,108.9,98.6 ,97.3 ,101.3,107.4,79.4 ,78.1 ,82.4 ,82.1 ,95.5 ,95.6 ,94.4 ,100.9,96.2 ,97.5 ,94.1 ,93.3 ,100.7,100  ,114.9,102.7,91.6 ,92.9 ,87.9 ,92.8 ,93.3 ,90.3 ,85.9 ,88.2 ,84.7 ,139.8,86.3 ,163.7,94.4 ,94.4 ,72.4 ,70.2 ,84.1
2000/12,100  ,95.3 ,92.2 ,119.4,98.6 ,98.1 ,102.6,111.1,99.1 ,97.4 ,102.9,110.4,79.6 ,77.8 ,83.5 ,83.2 ,96.4 ,95.4 ,98.2 ,102.9,97.3 ,97.4 ,96.6 ,97.5 ,101.2,100.1,117.9,106.9,94   ,94.7 ,92   ,95.1 ,95.3 ,94.4 ,88.6 ,88.2 ,88.8 ,143  ,86.3 ,168.4,94.7 ,94.7 ,73.4 ,71.1 ,85.3
2001/01,102.2,95.9 ,95   ,127.3,98.7 ,98   ,104.8,115  ,99.7 ,97.3 ,105  ,114.4,80   ,77.5 ,85.4 ,85.2 ,97.5 ,95.4 ,102.5,104.8,98.5 ,97.4 ,99.5 ,102.4,101.9,100.3,122.2,112.3,93.6 ,93.3 ,94.5 ,94.3 ,93.8 ,97   ,89.8 ,87.7 ,91   ,133.4,86.1 ,154.7,95.2 ,95.2 ,72   ,69   ,88.2
2001/02,101.5,96.1 ,94.1 ,123.2,98.6 ,98   ,104.2,114.2,99.5 ,97.3 ,104.5,113.5,79.4 ,77.1 ,84.4 ,84.2 ,97.1 ,95.2 ,101.3,104.2,98.2 ,97.3 ,99.2 ,100.9,101.8,100.3,121.4,110.8,94.7 ,95.2 ,93.2 ,96   ,95.9 ,96.3 ,88.3 ,87   ,89   ,129.6,86.1 ,149.1,95.2 ,95.2 ,69.4 ,66   ,87.9
2001/03,101.2,96.2 ,96.5 ,120.3,98.8 ,98   ,106.3,116.7,99.9 ,97.1 ,106.3,116.7,79.8 ,76.9 ,86.2 ,86.3 ,97.9 ,95.2 ,104.5,106.4,99.1 ,97.1 ,101.8,104.2,102.2,100.3,125.5,115  ,94.3 ,93.3 ,97   ,95.2 ,93.9 ,101.3,89.7 ,86.8 ,91.3 ,137  ,86.1 ,159.8,95   ,95   ,67   ,62.5 ,91.1
2001/04,101.4,96.5 ,97.4 ,120  ,98.4 ,97.6 ,107.6,112  ,100  ,97   ,106.9,118.7,79.8 ,76.5 ,87.1 ,87   ,97.4 ,94.5 ,104  ,107.5,99.1 ,96.7 ,102  ,105.7,102.5,100.4,127.7,117  ,94.5 ,93.3 ,98   ,95.3 ,93.8 ,102.7,90.2 ,87.4 ,91.7 ,138.9,85.8 ,162.8,95.6 ,95.6 ,65.6 ,60.4 ,93
2001/05,101.4,96.8 ,96.6 ,119.5,98.3 ,97.6 ,106.7,111.1,99.7 ,97   ,106.1,116.9,79   ,76.1 ,85.5 ,85.4 ,96.7 ,94.4 ,102.1,106.4,98.5 ,96.6 ,100.8,104  ,102.2,100.4,124.8,115.3,96.2 ,95.8 ,97.3 ,97.9 ,96.8 ,103  ,87.9 ,85   ,89.6 ,138.9,85.8 ,162.8,95.7 ,95.7 ,64.4 ,59.4 ,91.2
2001/06,99.9 ,95.9 ,96   ,115.3,98.3 ,97.6 ,106.7,110.7,99.6 ,96.9 ,105.9,116.6,78.6 ,75.8 ,84.8 ,84.6 ,96.5 ,94.3 ,101.4,106.1,98.2 ,96.4 ,100.3,103.1,102.2,100.4,124.8,114.8,95.9 ,95.6 ,96.8 ,97.8 ,96.8 ,102.6,86.8 ,82.9 ,89   ,142.3,85.8 ,167.7,95.7 ,95.7 ,63.3 ,58.2 ,90.7
2001/07,98.9 ,95.7 ,96.2 ,111.1,98.3 ,97.5 ,108  ,112.1,99.8 ,96.8 ,106.9,118.6,78.7 ,75.5 ,85.5 ,85.2 ,97.2 ,94.2 ,104.4,107.3,98.4 ,96.4 ,101.3,103.3,102.5,100.4,126.9,117.4,97.4 ,96.7 ,99.4 ,99.5 ,98.1 ,106  ,87.1 ,80.7 ,90.5 ,144.4,85.5 ,170.8,100  ,100  ,63.5 ,58.1 ,92.1
2001/08,96.1 ,94.3 ,93.4 ,103.4,98.1 ,97.5 ,106.7,110.7,99.5 ,96.8 ,106  ,116.7,77.9 ,75.2 ,83.6 ,83.2 ,97   ,94.2 ,103.5,106.4,98.1 ,96.4 ,100.1,102.7,102.3,100.4,124.4,115.7,96.8 ,96.4 ,97.9 ,99   ,97.7 ,105.1,85.9 ,81.9 ,88.1 ,138.2,85.5 ,161.9,100  ,100  ,63.2 ,58.3 ,89.5
2001/09,95.1 ,93.9 ,91.4 ,100.4,97.7 ,97.1 ,105.4,109.3,99.2 ,96.8 ,104.7,114.7,76.9 ,74.9 ,81.4 ,81.2 ,96.4 ,94.2 ,101.3,105.5,97.4 ,96.2 ,98.6 ,101.4,102.1,100.4,121.9,113.6,95.9 ,95.9 ,95.9 ,98.3 ,96.9 ,104.8,83.9 ,83.8 ,83.9 ,134.7,85.5 ,156.8,100  ,100  ,62.3 ,57.5 ,87.8
2001/10,93.9 ,93.2 ,91.8 ,97.2 ,97.8 ,97.1 ,107.3,110  ,99.4 ,96.8 ,105.5,116  ,76.8 ,74.5 ,81.8 ,82.1 ,96   ,93.8 ,100.8,106.4,98   ,96.2 ,99.9 ,103.2,102.2,100.4,123.6,115.5,95.2 ,95.2 ,95.5 ,97.6 ,96.2 ,104.1,83.9 ,83.6 ,84   ,134.8,84.2 ,157.5,96.1 ,96.1 ,62.9 ,57.9 ,89.5
2001/11,94   ,93   ,92.2 ,98.1 ,97.7 ,97.1 ,108.1,105.5,99.5 ,96.8 ,105.8,116.6,76.6 ,74.2 ,81.8 ,82.3 ,96.1 ,93.8 ,101.4,105.7,98.1 ,96.2 ,100.2,103.6,102.3,100.4,124.4,116  ,95.4 ,95.7 ,94.5 ,97.6 ,96.8 ,101.4,84.5 ,83   ,85.3 ,126.7,84.2 ,145.7,96.2 ,96.2 ,66.4 ,62   ,90.2
2001/12,96.8 ,94.3 ,95.2 ,106.1,98   ,97.1 ,112  ,107.7,100  ,96.7 ,107.7,120.6,77.3 ,74   ,84.2 ,84.7 ,97   ,93.6 ,105.3,107.7,98.9 ,96.1 ,101.9,107.3,102.7,100.3,128.9,120.5,97.2 ,96.7 ,98.5 ,99.1 ,97.9 ,104.8,87.5 ,82.6 ,90.1 ,125.6,84   ,144.3,96.4 ,96.4 ,68.3 ,63.5 ,94.1
2002/01,98.9 ,95.2 ,97.9 ,112.4,98.1 ,97   ,116.3,110.1,100.4,96.6 ,109.1,124.7,78.1 ,73.9 ,86.9 ,87.4 ,97.9 ,93.3 ,109.4,109.7,99.8 ,96.1 ,103.9,111.2,103.3,100.4,133.1,126.7,95.5 ,93.2 ,102  ,96.5 ,94.2 ,107.2,90.7 ,82.6 ,95.1 ,126.1,84   ,145  ,96.3 ,96.3 ,70.4 ,65.2 ,98.1
2002/02,100.1,96.4 ,99.3 ,113.2,98.2 ,97.1 ,116.8,110.2,100.4,96.6 ,109  ,125  ,78.2 ,73.8 ,87.3 ,88.3 ,97.9 ,93.3 ,109.4,110  ,99.8 ,96   ,104.1,111  ,103.3,100.4,132.9,126.9,96.1 ,93.9 ,102.4,97.4 ,95.2 ,107.5,90   ,79.6 ,95.6 ,127.3,84   ,146.7,96.3 ,96.3 ,73.4 ,68.7 ,98.6
2002/03,100.4,96.8 ,99.1 ,113.5,98   ,97   ,115  ,109.1,100.1,96.6 ,108  ,123.1,77.9 ,73.7 ,86.5 ,87.4 ,97.5 ,93.2 ,108  ,109.6,99.5 ,96.2 ,102.6,109.8,103  ,100.3,130.8,125  ,94.9 ,92.6 ,101.5,96.3 ,94   ,107  ,88.2 ,77.2 ,94.3 ,127.4,84   ,146.9,96   ,96   ,75.4 ,71.4 ,96.9
2002/04,101.5,98.2 ,98.6 ,114.3,97.9 ,96.8 ,115  ,109.3,100.1,96.5 ,108.2,123.2,77.5 ,73.3 ,86.4 ,86.5 ,97.8 ,92.9 ,110.3,109.7,99   ,95.8 ,101.4,109.8,103.1,100.4,130.7,124.9,95.9 ,94.4 ,100.2,97.7 ,96   ,105.6,87.3 ,76.6 ,93.1 ,138.9,84   ,163.6,93.1 ,93.1 ,77.3 ,73.6 ,97.3
2002/05,99.7 ,97.1 ,96   ,110.2,97.7 ,96.8 ,111.3,107.3,99.6 ,96.5 ,106.7,119.7,76.3 ,73   ,83.3 ,83.6 ,97   ,92.8 ,107.7,108.4,97.9 ,95.3 ,99.1 ,107.9,102.6,100.3,126.6,121.1,95.8 ,95.5 ,96.8 ,97.7 ,97.1 ,100.4,86.6 ,76.6 ,92   ,137.8,84   ,162  ,93.1 ,93.1 ,78   ,74.8 ,94.8
2002/06,99.4 ,97.2 ,94.3 ,108.9,97.5 ,96.8 ,108.6,106.3,99.2 ,96.4 ,105.9,117.6,75.2 ,72.7 ,80.4 ,81.1 ,96.8 ,92.8 ,106.7,108  ,97.5 ,95.5 ,97.8 ,107  ,102.3,100.1,123.9,119.5,94.5 ,93.9 ,96.2 ,95.8 ,95.4 ,98   ,87.9 ,77.3 ,93.7 ,135.8,84   ,159  ,93.1 ,93.1 ,80.6 ,78   ,94.6
2002/07,96.5 ,95.6 ,89.9 ,102.1,97.3 ,96.8 ,104.4,104.9,98.7 ,96.4 ,103.9,113.8,73.8 ,71.9 ,77.6 ,78.5 ,96   ,92.8 ,103.5,106.4,96.6 ,95.5 ,95.1 ,104.6,101.6,100  ,119.5,113.9,94   ,94.2 ,93.7 ,95.5 ,95.6 ,95.2 ,86.8 ,78.1 ,91.6 ,131  ,83.9 ,152.1,96.8 ,96.8 ,79.7 ,77.6 ,91.3
2002/08,95.6 ,94.8 ,89.5 ,101.2,97.3 ,96.7 ,105.2,105.2,98.7 ,96.3 ,104.2,114.1,73.6 ,71.5 ,77.4 ,79.6 ,96   ,92.7 ,103.8,106.6,96.3 ,94.9 ,95.4 ,104.2,101.7,100  ,120.3,114.1,95.6 ,95.4 ,96.3 ,96.9 ,96.8 ,97.4 ,89.4 ,79.8 ,94.7 ,133.7,83.9 ,156  ,96.8 ,96.8 ,79.2 ,76.9 ,91
2002/09,96.4 ,94.9 ,91   ,103.7,97.4 ,96.7 ,106.3,106.4,99   ,96.4 ,104.9,115.4,73.6 ,71.4 ,77.6 ,80.1 ,96.3 ,92.6 ,105.2,107.2,96.6 ,94.9 ,96.3 ,105.5,101.8,100  ,121.6,115.4,97.2 ,96.6 ,98.7 ,98.1 ,97.9 ,98.9 ,92.6 ,82.1 ,98.4 ,136.7,83.9 ,160.4,96.1 ,96.1 ,78.4 ,76.2 ,90.5
2002/10,96.9 ,94.4 ,93.3 ,107  ,97.6 ,96.8 ,108.9,108.3,99.4 ,96.3 ,106.6,118  ,73.8 ,71.3 ,78.9 ,79.9 ,96.7 ,92.5 ,107.3,109.1,97.5 ,95   ,98.3 ,108.1,102.3,100.2,124.7,118.6,97.1 ,95   ,103.4,97.7 ,96.3 ,104.5,94.2 ,80.2 ,101.9,143.2,83.9 ,169.8,90.2 ,90.2 ,85   ,83.5 ,92.8
2002/11,96.9 ,94.5 ,92.6 ,106.7,97.5 ,96.8 ,107.1,107.3,99.1 ,96.3 ,105.8,116.4,72.9 ,70.7 ,77.5 ,77.2 ,96.3 ,92.4 ,106  ,108.5,96.9 ,95   ,97   ,106.1,102  ,100.1,122.3,116.7,98.4 ,96.8 ,103  ,99.5 ,98.3 ,105  ,93.2 ,79.9 ,100.4,141.6,83.4 ,167.7,90.2 ,90.2 ,88.3 ,87.7 ,91.7
2002/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2003/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2004/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2005/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
2006/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
