データコード,PR01'PRW95_170000000,PR01'PRW95_170001010,PR01'PRW95_170001020,PR01'PRW95_170001030,PR01'PRW95_170001101,PR01'PRW95_170002111,PR01'PRW95_170002121,PR01'PRW95_170002131,PR01'PRW95_170012001,PR01'PRW95_170013001,PR01'PRW95_170013003,PR01'PRW95_170022001,PR01'PRW95_170023001,PR01'PRW95_170023002,PR01'PRW95_170023003,PR01'PRW95_170032001,PR01'PRW95_170033001,PR01'PRW95_170033003,PR01'PRW95_170042001,PR01'PRW95_170043001,PR01'PRW95_170043002,PR01'PRW95_170043003,PR01'PRW95_170052001,PR01'PRW95_170053001,PR01'PRW95_170053002,PR01'PRW95_170053003,PR01'PRW95_170062001,PR01'PRW95_170063001,PR01'PRW95_170063002,PR01'PRW95_170063003,PR01'PRW95_170072001,PR01'PRW95_170073001,PR01'PRW95_170073002,PR01'PRW95_170073003,PR01'PRW95_170082001,PR01'PRW95_170083001,PR01'PRW95_170083002,PR01'PRW95_170083003,PR01'PRW95_170092001,PR01'PRW95_170093001,PR01'PRW95_170093002,PR01'PRW95_170093003
系列名称,"[総合卸売物価指数] 総平均","[総合卸売物価指数] 総平均(国内品)","[総合卸売物価指数] 総平均(輸出品)","[総合卸売物価指数] 総平均(輸入品)","大類別/_工業製品","大類別/_工業製品(国内品)","大類別/_工業製品(輸出品)","大類別/_工業製品(輸入品)","類別/__加工食品","類別/__加工食品(国内品)","類別/__加工食品(輸入品)","類別/__繊維製品","類別/__繊維製品(国内品)","類別/__繊維製品(輸出品)","類別/__繊維製品(輸入品)","類別/__製材・木製品","類別/__製材・木製品(国内品)","類別/__製材・木製品(輸入品)","類別/__パルプ・紙・同製品","類別/__パルプ・紙・同製品(国内品)","類別/__パルプ・紙・同製品(輸出品)","類別/__パルプ・紙・同製品(輸入品)","類別/__化学製品","類別/__化学製品(国内品)","類別/__化学製品(輸出品)","類別/__化学製品(輸入品)","類別/__プラスチック製品","類別/__プラスチック製品(国内品)","類別/__プラスチック製品(輸出品)","類別/__プラスチック製品(輸入品)","類別/__石油・石炭製品","類別/__石油・石炭製品(国内品)","類別/__石油・石炭製品(輸出品)","類別/__石油・石炭製品(輸入品)","類別/__窯業・土石製品","類別/__窯業・土石製品(国内品)","類別/__窯業・土石製品(輸出品)","類別/__窯業・土石製品(輸入品)","類別/__鉄鋼","類別/__鉄鋼(国内品)","類別/__鉄鋼(輸出品)","類別/__鉄鋼(輸入品)"
系列名称（英字）,"[Overall Wholesale Price Index] All commodities","[Overall Wholesale Price Index] All commodities (Domestic goods)","[Overall Wholesale Price Index] All commodities (Exports)","[Overall Wholesale Price Index] All commodities (Imports)","Major group/_Manufacturing Industry Products","Major group/_Manufacturing Industry Products (Domestic goods)","Major group/_Manufacturing Industry Products (Exports)","Major group/_Manufacturing Industry Products (Imports)","Group/__Processed Foodstuffs","Group/__Processed Foodstuffs (Domestic goods)","Group/__Processed Foodstuffs (Imports)","Group/__Textile Products","Group/__Textile Products (Domestic goods)","Group/__Textile Products (Exports)","Group/__Textile Products (Imports)","Group/__Lumber & Wood Products","Group/__Lumber & Wood Products (Domestic goods)","Group/__Lumber & Wood Products (Imports)","Group/__Pulp, Paper & Related Products","Group/__Pulp, Paper & Related Products (Domestic goods)","Group/__Pulp, Paper & Related Products (Exports)","Group/__Pulp, Paper & Related Products (Imports)","Group/__Chemicals","Group/__Chemicals (Domestic goods)","Group/__Chemicals (Exports)","Group/__Chemicals (Imports)","Group/__Plastic Products","Group/__Plastic Products (Domestic goods)","Group/__Plastic Products (Exports)","Group/__Plastic Products (Imports)","Group/__Petroleum & Coal Products","Group/__Petroleum & Coal Products (Domestic goods)","Group/__Petroleum & Coal Products (Exports)","Group/__Petroleum & Coal Products (Imports)","Group/__Ceramic, Stone & Clay Products","Group/__Ceramic, Stone & Clay Products (Domestic goods)","Group/__Ceramic, Stone & Clay Products (Exports)","Group/__Ceramic, Stone & Clay Products (Imports)","Group/__Iron & Steel","Group/__Iron & Steel (Domestic goods)","Group/__Iron & Steel (Exports)","Group/__Iron & Steel (Imports)"
単位,"1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100"
単位（英字）,"CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100"
統計種別・カテゴリ,"卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数"
統計種別・カテゴリ(英字),"Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1970/01","1970/01","1970/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01"
収録終了期,"2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
備考,"品目数：1427、ウエイト：1000","品目数：971、ウエイト：792.86","品目数：209、ウエイト：119.35","品目数：247、ウエイト：87.79","品目数：1319、ウエイト：908.45","品目数：914、ウエイト：725.42","品目数：209、ウエイト：119.35","品目数：196、ウエイト：63.68","品目数：139、ウエイト：92.19","品目数：115、ウエイト：87.97","品目数：24、ウエイト：4.22","品目数：107、ウエイト：31.89","品目数：72、ウエイト：22.05","品目数：10、ウエイト：2.54","品目数：25、ウエイト：7.3","品目数：35、ウエイト：16.02","品目数：27、ウエイト：12.96","品目数：8、ウエイト：3.06","品目数：48、ウエイト：27.54","品目数：39、ウエイト：25.3","品目数：4、ウエイト：0.76","品目数：5、ウエイト：1.48","品目数：185、ウエイト：77.55","品目数：122、ウエイト：61.77","品目数：36、ウエイト：9.17","品目数：27、ウエイト：6.61","品目数：25、ウエイト：30.69","品目数：22、ウエイト：29.21","品目数：2、ウエイト：1.22","品目数：1、ウエイト：0.26","品目数：23、ウエイト：25.4","品目数：16、ウエイト：22.51","品目数：1、ウエイト：0.11","品目数：6、ウエイト：2.78","品目数：60、ウエイト：30.63","品目数：48、ウエイト：27.92","品目数：8、ウエイト：1.8","品目数：4、ウエイト：0.91","品目数：77、ウエイト：41","品目数：52、ウエイト：34.33","品目数：16、ウエイト：5.03","品目数：9、ウエイト：1.64"
備考（英字）,"Number of Commodity:1427, Weights:1000","Number of Commodity:971, Weights:792.86","Number of Commodity:209, Weights:119.35","Number of Commodity:247, Weights:87.79","Number of Commodity:1319, Weights:908.45","Number of Commodity:914, Weights:725.42","Number of Commodity:209, Weights:119.35","Number of Commodity:196, Weights:63.68","Number of Commodity:139, Weights:92.19","Number of Commodity:115, Weights:87.97","Number of Commodity:24, Weights:4.22","Number of Commodity:107, Weights:31.89","Number of Commodity:72, Weights:22.05","Number of Commodity:10, Weights:2.54","Number of Commodity:25, Weights:7.3","Number of Commodity:35, Weights:16.02","Number of Commodity:27, Weights:12.96","Number of Commodity:8, Weights:3.06","Number of Commodity:48, Weights:27.54","Number of Commodity:39, Weights:25.3","Number of Commodity:4, Weights:0.76","Number of Commodity:5, Weights:1.48","Number of Commodity:185, Weights:77.55","Number of Commodity:122, Weights:61.77","Number of Commodity:36, Weights:9.17","Number of Commodity:27, Weights:6.61","Number of Commodity:25, Weights:30.69","Number of Commodity:22, Weights:29.21","Number of Commodity:2, Weights:1.22","Number of Commodity:1, Weights:0.26","Number of Commodity:23, Weights:25.4","Number of Commodity:16, Weights:22.51","Number of Commodity:1, Weights:0.11","Number of Commodity:6, Weights:2.78","Number of Commodity:60, Weights:30.63","Number of Commodity:48, Weights:27.92","Number of Commodity:8, Weights:1.8","Number of Commodity:4, Weights:0.91","Number of Commodity:77, Weights:41","Number of Commodity:52, Weights:34.33","Number of Commodity:16, Weights:5.03","Number of Commodity:9, Weights:1.64"

1955/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1955/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1956/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1957/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1958/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1959/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1959/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1959/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
